City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
212,anar darah,32.7587,61.654,18.82,29,100,2.42,AF,1710616774
213,antsiranana,-12.2787,49.2917,26.39,84,100,5.76,MG,1710616774
214,nova xavantina,-14.6667,-52.35,33.1,55,69,1.95,BR,1710616775
215,yuzhno-kurilsk,44.0306,145.8556,-2.57,92,100,2.36,RU,1710616776
216,menongue,-14.6585,17.691,20.82,76,20,2.17,AO,1710616776
217,mandalgovi,45.7625,106.2708,-6.09,53,29,5.05,MN,1710616777
218,yuktae-dong,40.0247,128.1597,5.18,78,10,6.49,KP,1710616778
219,taoudenni,22.6783,-3.9836,29.17,9,0,6.66,ML,1710616778
220,nsanje,-16.92,35.262,26.63,79,66,1.78,MW,1710616779
221,zapata,26.9073,-99.2714,28.06,57,40,3.6,US,1710616690
222,waspan,14.7419,-83.9717,32.83,44,91,4.15,NI,1710616780
223,kristiansund,63.1115,7.732,1.03,80,11,1.54,NO,1710616781
224,amahai,-3.3333,128.9167,26.35,85,100,2.26,ID,1710616781
225,cabo san lucas,22.8909,-109.9124,25.9,50,20,3.6,MX,1710616229
226,zhezqazghan,47.7833,67.7667,-10.24,89,6,3.1,KZ,1710616783
227,urangan,-25.3,152.9,20.67,95,14,3.13,AU,1710616756
228,shache,38.4167,77.2406,6.23,31,0,3.22,CN,1710616784
229,rundu,-17.9333,19.7667,22.3,74,94,3.24,NA,1710616785
230,acarau,-2.8856,-40.12,27.06,86,100,4.0,BR,1710616785
231,la ronge,55.1001,-105.2842,-6.86,58,100,5.14,CA,1710616786
232,bubaque,11.2833,-15.8333,25.55,70,0,8.05,GW,1710616787
233,hermanus,-34.4187,19.2345,17.11,68,26,6.09,ZA,1710616771
234,tolanaro,-25.0319,46.9987,23.97,94,2,2.12,MG,1710616788
235,rukungiri,-0.8411,29.9419,20.16,56,100,1.51,UG,1710616788
236,yeppoon,-23.1333,150.7333,21.88,81,99,5.61,AU,1710616789
237,akhalk'alak'i,41.4051,43.4863,-1.5,94,95,0.7,GE,1710616696
238,pacocha,-17.5833,-71.3333,25.08,73,0,3.09,PE,1710616790
239,mooirivier,-29.2082,29.9946,14.85,92,6,2.57,ZA,1710616791
240,el nido,11.1858,119.3956,26.82,78,97,5.74,PH,1710616792
241,naze,28.3667,129.4833,18.51,74,49,4.74,JP,1710616792
242,ataq,14.5377,46.8319,22.17,58,0,4.48,YE,1710616793
243,fruitland,38.3221,-75.6202,17.77,47,0,4.63,US,1710616793
244,bredasdorp,-34.5322,20.0403,17.76,61,100,4.38,ZA,1710616794
245,minas de marcona,-15.2119,-75.1103,22.61,67,43,5.78,PE,1710616795
246,nova sintra,14.8667,-24.7167,20.82,77,0,7.75,CV,1710616576
247,tromso,69.6496,18.957,-4.99,58,75,8.23,NO,1710616796
248,pearsall,28.8922,-99.095,26.66,81,100,3.22,US,1710616798
249,aral,40.5156,81.2636,5.25,34,0,3.12,CN,1710616798
250,bazarak,35.3129,69.5152,0.46,61,99,4.28,AF,1710616799
251,griffith,41.5284,-87.4237,16.26,53,75,9.26,US,1710616800
252,laela,-8.5667,32.05,17.43,94,100,1.06,TZ,1710616800
253,puerto aysen,-45.4,-72.7,7.65,99,100,3.39,CL,1710616801
254,kapuskasing,49.4169,-82.4331,2.05,93,100,3.6,CA,1710616801
255,afif,23.9065,42.9172,24.99,20,100,4.46,SA,1710616803
256,punto fijo,11.6956,-70.1996,29.99,59,7,13.89,VE,1710616745
257,gilmer,32.7287,-94.9424,19.0,77,75,3.09,US,1710616804
258,tazacorte,28.629,-17.9293,22.86,73,20,3.09,ES,1710616805
259,howrah,22.5892,88.3103,22.0,88,75,2.57,IN,1710616806
260,tarko-sale,64.9225,77.785,-12.93,90,35,7.94,RU,1710616806
261,fort bragg,35.139,-79.006,24.34,52,75,2.06,US,1710616807
262,mount gambier,-37.8333,140.7667,16.56,77,15,2.36,AU,1710616807
263,richards bay,-28.783,32.0377,24.33,89,100,5.91,ZA,1710616808
264,usogorsk,63.4106,48.6872,2.59,100,100,6.62,RU,1710616809
265,cambria,35.5641,-121.0808,20.65,60,0,1.72,US,1710616809
266,haiku-pauwela,20.9219,-156.3051,22.9,77,20,4.63,US,1710616658
267,cajamarca,-7.1638,-78.5003,23.04,46,75,3.6,PE,1710616811
268,cesky krumlov,48.8109,14.3152,9.87,76,87,4.33,CZ,1710616812
269,limavady,55.0504,-6.9507,9.65,97,100,3.66,GB,1710616814
270,tofol,5.3248,163.0078,26.91,86,100,5.89,FM,1710616814
271,aomori,40.8244,140.74,2.51,69,100,0.89,JP,1710616671
272,buala,-8.145,159.5921,26.47,87,100,3.15,SB,1710616816
273,kavieng,-2.5744,150.7967,26.54,88,100,3.36,PG,1710616816
274,zabol,32.25,67.25,9.3,47,100,1.81,AF,1710616817
275,terrace,54.5163,-128.6035,8.95,66,20,11.32,CA,1710616818
276,avarua,-21.2078,-159.775,28.03,74,16,2.06,CK,1710616819
277,port alfred,-33.5906,26.891,17.88,97,100,0.89,ZA,1710616819
278,berezovyy,51.6667,135.7,-12.74,86,100,1.17,RU,1710616820
279,popondetta,-8.7537,148.2534,23.44,97,100,0.92,PG,1710616821
280,es castell,39.8795,4.2854,13.38,82,0,1.54,ES,1710616822
281,santa ana,33.7456,-117.8678,20.48,59,40,4.12,US,1710616823
282,ilulissat,69.2167,-51.1,-14.99,85,75,1.03,GL,1710616824
283,myers corner,41.6062,-73.8729,15.58,42,51,0.45,US,1710616824
284,xiva,41.3783,60.3639,8.99,24,85,7.59,UZ,1710616825
285,road town,18.4167,-64.6167,28.05,74,75,5.66,VG,1710616587
286,sao luis,-2.5297,-44.3028,27.11,100,75,5.66,BR,1710616827
287,carnot,4.9409,15.8665,28.26,47,93,0.55,CF,1710616828
288,xining,36.6167,101.7667,0.27,52,100,1.48,CN,1710616828
289,vikasnagar,30.4683,77.775,17.41,47,0,3.32,IN,1710616829
290,labrador city,52.9463,-66.9114,-5.05,63,75,2.06,CA,1710616830
291,brookings,44.3114,-96.7984,7.29,42,20,14.4,US,1710616830
292,manadhoo,5.7667,73.3833,28.52,70,6,3.06,MV,1710616831
293,boca do acre,-8.7522,-67.3978,33.16,51,59,2.07,BR,1710616832
294,praia da vitoria,38.7333,-27.0667,17.14,72,20,4.96,PT,1710616833
295,port augusta,-32.5,137.7667,24.7,57,14,4.08,AU,1710616782
296,kruisfontein,-34.0033,24.7314,17.16,86,100,3.73,ZA,1710616834
297,vuktyl,63.8567,57.3094,0.62,99,100,5.81,RU,1710616834
298,tarawa,1.419,172.984,28.05,89,40,3.6,KI,1710616835
299,north mackay,-21.1167,149.1833,24.3,82,31,6.34,AU,1710616836
300,muynoq,43.7683,59.0214,7.65,36,100,7.6,UZ,1710616836
301,callao,-12.0667,-77.15,25.16,69,20,4.12,PE,1710616837
302,vadso,70.0744,29.7487,-5.51,73,100,5.14,NO,1710616837
303,marquette,46.5333,-87.6335,3.23,67,100,8.05,US,1710616730
304,neuhausen,54.7732,20.6052,7.83,93,75,6.0,RU,1710616839
